iter	Passed	Remaining
598	1226	820
599	1228	818
600	1230	816
601	1232	814
602	1234	812
603	1236	810
604	1238	808
605	1240	806
606	1242	804
607	1244	802
608	1246	800
609	1248	797
610	1249	795
611	1252	793
612	1253	791
613	1255	789
614	1256	786
615	1258	784
616	1260	782
617	1262	780
618	1264	778
619	1266	776
620	1268	773
621	1269	771
622	1271	769
623	1273	767
624	1275	765
625	1277	763
626	1280	761
627	1281	759
628	1284	757
629	1287	756
630	1290	754
631	1292	752
632	1294	750
633	1295	747
634	1297	745
635	1299	743
636	1300	741
637	1302	739
638	1304	736
639	1306	734
640	1308	732
641	1310	730
642	1312	728
643	1313	726
644	1316	724
645	1318	722
646	1320	720
647	1322	718
648	1324	716
649	1326	714
650	1328	712
651	1329	709
652	1331	707
653	1333	705
654	1335	703
655	1338	701
656	1340	700
657	1342	697
658	1344	695
659	1346	693
660	1348	691
661	1350	689
662	1352	687
663	1355	685
664	1357	683
665	1358	681
666	1360	679
667	1362	677
668	1364	675
669	1366	673
670	1368	670
671	1370	668
672	1372	666
673	1374	664
674	1376	662
675	1378	660
676	1380	658
677	1382	656
678	1384	654
679	1387	653
680	1389	650
681	1391	648
682	1393	646
683	1395	644
684	1397	642
685	1399	640
686	1400	638
687	1402	636
688	1404	634
689	1406	631
690	1409	630
691	1411	628
692	1413	626
693	1414	623
694	1416	621
695	1418	619
696	1420	617
697	1422	615
698	1424	613
699	1426	611
700	1428	609
701	1430	607
702	1432	605
703	1434	602
704	1436	600
705	1438	598
706	1439	596
707	1443	595
708	1446	593
709	1448	591
710	1450	589
711	1452	587
712	1455	585
713	1457	583
714	1459	581
715	1461	579
716	1462	577
717	1464	575
718	1466	573
719	1468	571
720	1470	568
721	1472	566
722	1473	564
723	1475	562
724	1478	560
725	1480	558
726	1482	556
727	1484	554
728	1486	552
729	1488	550
730	1490	548
731	1491	546
732	1494	544
733	1495	542
734	1497	540
735	1500	538
736	1502	536
737	1504	533
738	1506	531
739	1507	529
740	1510	527
741	1512	525
742	1513	523
743	1516	521
744	1518	519
745	1520	517
746	1522	515
747	1524	513
748	1526	511
749	1529	509
750	1531	507
751	1534	505
752	1536	503
753	1537	501
754	1539	499
755	1541	497
756	1543	495
757	1545	493
758	1548	491
759	1550	489
760	1551	487
761	1553	485
762	1555	483
763	1557	481
764	1559	479
765	1562	477
766	1564	475
767	1566	473
768	1569	471
769	1571	469
770	1573	467
771	1575	465
772	1577	463
773	1579	461
774	1581	459
775	1583	457
776	1584	454
777	1586	452
778	1589	450
779	1591	448
780	1592	446
781	1594	444
782	1596	442
783	1598	440
784	1599	438
785	1601	436
786	1603	434
787	1606	432
788	1608	430
789	1609	427
790	1611	425
791	1613	423
792	1615	421
793	1617	419
794	1619	417
795	1621	415
796	1624	413
797	1626	411
798	1628	409
799	1630	407
800	1632	405
801	1634	403
802	1636	401
803	1638	399
804	1640	397
805	1641	395
806	1643	393
807	1645	391
808	1648	389
809	1650	387
810	1652	384
811	1654	382
812	1655	380
813	1657	378
814	1659	376
815	1661	374
816	1663	372
817	1665	370
818	1666	368
819	1668	366
820	1669	364
821	1671	362
822	1673	359
823	1675	357
824	1677	355
825	1679	353
826	1681	351
827	1683	349
828	1685	347
829	1687	345
830	1689	343
831	1691	341
832	1692	339
833	1694	337
834	1696	335
835	1698	333
836	1700	331
837	1701	328
838	1703	326
839	1705	324
840	1707	322
841	1708	320
842	1710	318
843	1712	316
844	1713	314
845	1716	312
846	1718	310
847	1720	308
848	1723	306
849	1725	304
850	1727	302
851	1730	300
852	1732	298
853	1734	296
854	1736	294
855	1738	292
856	1740	290
857	1742	288
858	1745	286
859	1747	284
860	1748	282
861	1751	280
862	1753	278
863	1755	276
864	1756	274
865	1759	272
866	1760	270
867	1762	268
868	1764	266
869	1767	264
870	1769	262
871	1771	260
872	1773	257
873	1774	255
874	1776	253
875	1778	251
876	1779	249
877	1782	247
878	1784	245
879	1786	243
880	1788	241
881	1790	239
882	1793	237
883	1794	235
884	1797	233
885	1799	231
886	1801	229
887	1804	227
888	1806	225
889	1808	223
890	1810	221
891	1812	219
892	1814	217
893	1817	215
894	1818	213
895	1820	211
896	1822	209
897	1824	207
898	1826	205
899	1828	203
900	1830	201
901	1832	199
902	1834	197
903	1836	194
904	1838	193
905	1840	190
906	1842	188
907	1844	186
908	1846	184
909	1849	182
910	1851	180
911	1854	178
912	1855	176
913	1858	174
914	1859	172
915	1861	170
916	1863	168
917	1864	166
918	1866	164
919	1868	162
920	1870	160
921	1872	158
922	1874	156
923	1875	154
924	1878	152
925	1880	150
926	1882	148
927	1884	146
928	1885	144
929	1887	142
930	1890	140
931	1891	138
932	1893	135
933	1895	133
934	1897	131
935	1899	129
936	1902	127
937	1905	125
938	1907	123
939	1909	121
940	1911	119
941	1913	117
942	1915	115
943	1917	113
944	1919	111
945	1921	109
946	1923	107
947	1925	105
948	1927	103
949	1928	101
950	1930	99
951	1932	97
952	1934	95
953	1936	93
954	1939	91
955	1940	89
956	1943	87
957	1945	85
958	1946	83
959	1948	81
960	1950	79
961	1952	77
962	1953	75
963	1956	73
964	1957	71
965	1959	68
966	1961	66
967	1962	64
968	1964	62
969	1966	60
970	1968	58
971	1970	56
972	1973	54
973	1974	52
974	1976	50
975	1977	48
976	1980	46
977	1983	44
978	1985	42
979	1987	40
980	1988	38
981	1990	36
982	1992	34
983	1994	32
984	1996	30
985	1997	28
986	1999	26
987	2002	24
988	2004	22
989	2006	20
990	2008	18
991	2011	16
992	2012	14
993	2014	12
994	2016	10
995	2018	8
996	2020	6
997	2022	4
998	2024	2
999	2026	0
